id;URL;Наименование;Раздел;Цена;"Старая цена";Валюта;Статус;Фото;"Фото доп";Описание;Анонс;"Цена в USD";"Старая цена в USD";"Цена в RUB";"Старая цена в RUB"
952;https://ironmac-kompressor.com/catalog/product/resiver_gorizontalnyy_500_litrov_16_bar/;"Ресивер горизонтальный 500 литров 16 бар";;690000;;RUB;;https://ironmac-kompressor.com;;;;8350;0;690000;;
64;https://ironmac-kompressor.com/catalog/product/i_10/;I-10;"Рефрижераторные осушители";955;;USD;"В наличии";https://ironmac-kompressor.com/upload/iblock/3a6/uhgf22ib3v69kggqpqpsapxfuhur10xu.jpg;;"<p>
<b>Принцип работы:</b>
</p>
<p>
Осушение сжатого воздуха осуществляется путем понижения его температуры до точки росы. Уже имеющаяся влага в сжатом воздухе выпадает в виде конденсата, выводится из системы через автоматический клапан.
</p>
<p>
Охлаждение воздуха осуществляется в радиаторе воздух / фреон, при этом фреоновый контур является замкнутым.
</p>
<p>
<b>Отличительные особенности:</b>
</p>
<ul>
<li>Максимальное рабочее давление 16 бар;</li>
<li>Двухконтурная система;</li>
<li>Медный теплообменник;</li>
<li>Настройка таймера;</li>
<li>Настройка температуры;</li>
<li>Автоматический сброс конденсата. </li>
</ul>";"<table width=""100%"">
<tbody>
<tr>
	<td>
 <b>Модель</b>
	</td>
	<td style=""text-align:center;"">
 <b>I-10</b>
	</td>
</tr>
<tr>
	<td>
		 Пропускная способность, м<sup>3</sup>/мин
	</td>
	<td style=""text-align:center;"">
		 1,2
	</td>
</tr>
<tr>
	<td>
		 Максимальная температура сжатого воздуха на входе, °С;
	</td>
	<td style=""text-align:center;"">
		 65
	</td>
</tr>
<tr>
	<td>
		 Максимальное рабочее давление сжатого воздуха, бар
	</td>
	<td style=""text-align:center;"">
		 16
	</td>
</tr>
<tr>
	<td>
		 Режим работы, °С
	</td>
	<td style=""text-align:center;"">
		 +5 - +42
	</td>
</tr>
<tr>
	<td>
		 Хладагент
	</td>
	<td style=""text-align:center;"">
		 R134a
	</td>
</tr>
<tr>
	<td>
		 Мощность, кВт
	</td>
	<td style=""text-align:center;"">
		 0,37
	</td>
</tr>
<tr>
	<td>
		 Параметры электросети
	</td>
	<td style=""text-align:center;"">
		 230V 50HZ
	</td>
</tr>
<tr>
	<td>
		 Подключение
	</td>
	<td style=""text-align:center;"">
		 RC3/4”
	</td>
</tr>
<tr>
	<td>
 <b>Габаритные размеры:</b>
	</td>
</tr>
<tr>
	<td>
		 Длина, мм
	</td>
	<td style=""text-align:center;"">
		 480
	</td>
</tr>
<tr>
	<td>
		 Ширина, мм
	</td>
	<td style=""text-align:center;"">
		 380
	</td>
</tr>
<tr>
	<td>
		 Высота, мм
	</td>
	<td style=""text-align:center;"">
		 665
	</td>
</tr>
<tr>
	<td>
		 Вес, кг
	</td>
	<td style=""text-align:center;"">
		 36
	</td>
</tr>
</tbody>
</table>";955;0;78909.931;;
65;https://ironmac-kompressor.com/catalog/product/i_15/;I-15;"Рефрижераторные осушители";1170;;USD;"В наличии";https://ironmac-kompressor.com/upload/iblock/3a6/uhgf22ib3v69kggqpqpsapxfuhur10xu.jpg;;"<p>
<b>Принцип работы:</b>
</p>
<p>
Осушение сжатого воздуха осуществляется путем понижения его температуры до точки росы. Уже имеющаяся влага в сжатом воздухе выпадает в виде конденсата, выводится из системы через автоматический клапан.
</p>
<p>
Охлаждение воздуха осуществляется в радиаторе воздух / фреон, при этом фреоновый контур является замкнутым.
</p>
<p>
<b>Отличительные особенности:</b>
</p>
<ul>
<li>Максимальное рабочее давление 16 бар;</li>
<li>Двухконтурная система;</li>
<li>Медный теплообменник;</li>
<li>Настройка таймера;</li>
<li>Настройка температуры;</li>
<li>Автоматический сброс конденсата. </li>
</ul>";"<table width=""100%"">
<tbody>
<tr>
	<td>
 <b>Модель</b>
	</td>
	<td style=""text-align:center;"">
 <b>I-15</b>
	</td>
</tr>
<tr>
	<td>
		 Пропускная способность, м<sup>3</sup>/мин
	</td>
	<td style=""text-align:center;"">
		 2,0
	</td>
</tr>
<tr>
	<td>
		 Максимальная температура сжатого воздуха на входе, °С;
	</td>
	<td style=""text-align:center;"">
		 65
	</td>
</tr>
<tr>
	<td>
		 Максимальное рабочее давление сжатого воздуха, бар
	</td>
	<td style=""text-align:center;"">
		 16
	</td>
</tr>
<tr>
	<td>
		 Режим работы, °С
	</td>
	<td style=""text-align:center;"">
		 +5 - +42
	</td>
</tr>
<tr>
	<td>
		 Хладагент
	</td>
	<td style=""text-align:center;"">
		 R134a
	</td>
</tr>
<tr>
	<td>
		 Мощность, кВт
	</td>
	<td style=""text-align:center;"">
		 0,52
	</td>
</tr>
<tr>
	<td>
		 Параметры электросети
	</td>
	<td style=""text-align:center;"">
		 230V 50HZ
	</td>
</tr>
<tr>
	<td>
		 Подключение
	</td>
	<td style=""text-align:center;"">
		 RC3/4”
	</td>
</tr>
<tr>
	<td>
 <b>Габаритные размеры:</b>
	</td>
</tr>
<tr>
	<td>
		 Длина, мм
	</td>
	<td style=""text-align:center;"">
		 520
	</td>
</tr>
<tr>
	<td>
		 Ширина, мм
	</td>
	<td style=""text-align:center;"">
		 410
	</td>
</tr>
<tr>
	<td>
		 Высота, мм
	</td>
	<td style=""text-align:center;"">
		 725
	</td>
</tr>
<tr>
	<td>
		 Вес, кг
	</td>
	<td style=""text-align:center;"">
		 45
	</td>
</tr>
</tbody>
</table>";1170;0;96674.994;;
66;https://ironmac-kompressor.com/catalog/product/i_20/;I-20;"Рефрижераторные осушители";1220;;USD;"В наличии";https://ironmac-kompressor.com/upload/iblock/3a6/uhgf22ib3v69kggqpqpsapxfuhur10xu.jpg;;"<p>
<b>Принцип работы:</b>
</p>
<p>
Осушение сжатого воздуха осуществляется путем понижения его температуры до точки росы. Уже имеющаяся влага в сжатом воздухе выпадает в виде конденсата, выводится из системы через автоматический клапан.
</p>
<p>
Охлаждение воздуха осуществляется в радиаторе воздух / фреон, при этом фреоновый контур является замкнутым.
</p>
<p>
<b>Отличительные особенности:</b>
</p>
<ul>
<li>Максимальное рабочее давление 16 бар;</li>
<li>Двухконтурная система;</li>
<li>Медный теплообменник;</li>
<li>Настройка таймера;</li>
<li>Настройка температуры;</li>
<li>Автоматический сброс конденсата. </li>
</ul>";"<table width=""100%"">
<tbody>
<tr>
	<td>
 <b>Модель</b>
	</td>
	<td style=""text-align:center;"">
 <b>I-20</b>
	</td>
</tr>
<tr>
	<td>
		 Пропускная способность, м<sup>3</sup>/мин
	</td>
	<td style=""text-align:center;"">
		 2,4
	</td>
</tr>
<tr>
	<td>
		 Максимальная температура сжатого воздуха на входе, °С;
	</td>
	<td style=""text-align:center;"">
		 65
	</td>
</tr>
<tr>
	<td>
		 Максимальное рабочее давление сжатого воздуха, бар
	</td>
	<td style=""text-align:center;"">
		 16
	</td>
</tr>
<tr>
	<td>
		 Режим работы, °С
	</td>
	<td style=""text-align:center;"">
		 +5 - +42
	</td>
</tr>
<tr>
	<td>
		 Хладагент
	</td>
	<td style=""text-align:center;"">
		 R134a
	</td>
</tr>
<tr>
	<td>
		 Мощность, кВт
	</td>
	<td style=""text-align:center;"">
		 0,52
	</td>
</tr>
<tr>
	<td>
		 Параметры электросети
	</td>
	<td style=""text-align:center;"">
		 230V 50HZ
	</td>
</tr>
<tr>
	<td>
		 Подключение
	</td>
	<td style=""text-align:center;"">
		 RC3/4”
	</td>
</tr>
<tr>
	<td>
 <b>Габаритные размеры:</b>
	</td>
</tr>
<tr>
	<td>
		 Длина, мм
	</td>
	<td style=""text-align:center;"">
		 520
	</td>
</tr>
<tr>
	<td>
		 Ширина, мм
	</td>
	<td style=""text-align:center;"">
		 410
	</td>
</tr>
<tr>
	<td>
		 Высота, мм
	</td>
	<td style=""text-align:center;"">
		 725
	</td>
</tr>
<tr>
	<td>
		 Вес, кг
	</td>
	<td style=""text-align:center;"">
		 45
	</td>
</tr>
</tbody>
</table>";1220;0;100806.404;;
67;https://ironmac-kompressor.com/catalog/product/i_30/;I-30;"Рефрижераторные осушители";1630;;USD;"В наличии";https://ironmac-kompressor.com/upload/iblock/3a6/uhgf22ib3v69kggqpqpsapxfuhur10xu.jpg;;"<p>
<b>Принцип работы:</b>
</p>
<p>
Осушение сжатого воздуха осуществляется путем понижения его температуры до точки росы. Уже имеющаяся влага в сжатом воздухе выпадает в виде конденсата, выводится из системы через автоматический клапан.
</p>
<p>
Охлаждение воздуха осуществляется в радиаторе воздух / фреон, при этом фреоновый контур является замкнутым.
</p>
<p>
<b>Отличительные особенности:</b>
</p>
<ul>
<li>Максимальное рабочее давление 16 бар;</li>
<li>Двухконтурная система;</li>
<li>Медный теплообменник;</li>
<li>Настройка таймера;</li>
<li>Настройка температуры;</li>
<li>Автоматический сброс конденсата. </li>
</ul>";"<table width=""100%"">
<tbody>
<tr>
	<td>
 <b>Модель</b>
	</td>
	<td style=""text-align:center;"">
 <b>I-30</b>
	</td>
</tr>
<tr>
	<td>
		 Пропускная способность, м<sup>3</sup>/мин
	</td>
	<td style=""text-align:center;"">
		 3,6
	</td>
</tr>
<tr>
	<td>
		 Максимальная температура сжатого воздуха на входе, °С;
	</td>
	<td style=""text-align:center;"">
		 65
	</td>
</tr>
<tr>
	<td>
		 Максимальное рабочее давление сжатого воздуха, бар
	</td>
	<td style=""text-align:center;"">
		 16
	</td>
</tr>
<tr>
	<td>
		 Режим работы, °С
	</td>
	<td style=""text-align:center;"">
		 +5 - +42
	</td>
</tr>
<tr>
	<td>
		 Хладагент
	</td>
	<td style=""text-align:center;"">
		 R410a
	</td>
</tr>
<tr>
	<td>
		 Мощность, кВт
	</td>
	<td style=""text-align:center;"">
		 0,735
	</td>
</tr>
<tr>
	<td>
		 Параметры электросети
	</td>
	<td style=""text-align:center;"">
		 230V 50HZ
	</td>
</tr>
<tr>
	<td>
		 Подключение
	</td>
	<td style=""text-align:center;"">
		 RC1”
	</td>
</tr>
<tr>
	<td>
 <b>Габаритные размеры:</b>
	</td>
</tr>
<tr>
	<td>
		 Длина, мм
	</td>
	<td style=""text-align:center;"">
		 580
	</td>
</tr>
<tr>
	<td>
		 Ширина, мм
	</td>
	<td style=""text-align:center;"">
		 460
	</td>
</tr>
<tr>
	<td>
		 Высота, мм
	</td>
	<td style=""text-align:center;"">
		 785
	</td>
</tr>
<tr>
	<td>
		 Вес, кг
	</td>
	<td style=""text-align:center;"">
		 56
	</td>
</tr>
</tbody>
</table>";1630;0;134683.966;;
69;https://ironmac-kompressor.com/catalog/product/i_50/;I-50;"Рефрижераторные осушители";1990;;USD;"В наличии";https://ironmac-kompressor.com/upload/iblock/3a6/uhgf22ib3v69kggqpqpsapxfuhur10xu.jpg;;"<p>
<b>Принцип работы:</b>
</p>
<p>
Осушение сжатого воздуха осуществляется путем понижения его температуры до точки росы. Уже имеющаяся влага в сжатом воздухе выпадает в виде конденсата, выводится из системы через автоматический клапан.
</p>
<p>
Охлаждение воздуха осуществляется в радиаторе воздух / фреон, при этом фреоновый контур является замкнутым.
</p>
<p>
<b>Отличительные особенности:</b>
</p>
<ul>
<li>Максимальное рабочее давление 16 бар;</li>
<li>Двухконтурная система;</li>
<li>Медный теплообменник;</li>
<li>Настройка таймера;</li>
<li>Настройка температуры;</li>
<li>Автоматический сброс конденсата. </li>
</ul>";"<table width=""100%"">
<tbody>
<tr>
	<td>
 <b>Модель</b>
	</td>
	<td style=""text-align:center;"">
 <b>I-50</b>
	</td>
</tr>
<tr>
	<td>
		 Пропускная способность, м<sup>3</sup>/мин
	</td>
	<td style=""text-align:center;"">
		 6,5
	</td>
</tr>
<tr>
	<td>
		 Максимальная температура сжатого воздуха на входе, °С;
	</td>
	<td style=""text-align:center;"">
		 65
	</td>
</tr>
<tr>
	<td>
		 Максимальное рабочее давление сжатого воздуха, бар
	</td>
	<td style=""text-align:center;"">
		 16
	</td>
</tr>
<tr>
	<td>
		 Режим работы, °С
	</td>
	<td style=""text-align:center;"">
		 +5 - +42
	</td>
</tr>
<tr>
	<td>
		 Хладагент
	</td>
	<td style=""text-align:center;"">
		 R410a
	</td>
</tr>
<tr>
	<td>
		 Мощность, кВт
	</td>
	<td style=""text-align:center;"">
		 1,262
	</td>
</tr>
<tr>
	<td>
		 Параметры электросети
	</td>
	<td style=""text-align:center;"">
		 230V 50HZ
	</td>
</tr>
<tr>
	<td>
		 Подключение
	</td>
	<td style=""text-align:center;"">
		 RC1-1/2”
	</td>
</tr>
<tr>
	<td>
 <b>Габаритные размеры:</b>
	</td>
</tr>
<tr>
	<td>
		 Длина, мм
	</td>
	<td style=""text-align:center;"">
		 700
	</td>
</tr>
<tr>
	<td>
		 Ширина, мм
	</td>
	<td style=""text-align:center;"">
		 540
	</td>
</tr>
<tr>
	<td>
		 Высота, мм
	</td>
	<td style=""text-align:center;"">
		 910
	</td>
</tr>
<tr>
	<td>
		 Вес, кг
	</td>
	<td style=""text-align:center;"">
		 63
	</td>
</tr>
</tbody>
</table>";1990;0;164430.118;;
70;https://ironmac-kompressor.com/catalog/product/i_75/;I-75;"Рефрижераторные осушители";3030;;USD;"В наличии";https://ironmac-kompressor.com/upload/iblock/3a6/uhgf22ib3v69kggqpqpsapxfuhur10xu.jpg;;"<p>
<b>Принцип работы:</b>
</p>
<p>
Осушение сжатого воздуха осуществляется путем понижения его температуры до точки росы. Уже имеющаяся влага в сжатом воздухе выпадает в виде конденсата, выводится из системы через автоматический клапан.
</p>
<p>
Охлаждение воздуха осуществляется в радиаторе воздух / фреон, при этом фреоновый контур является замкнутым.
</p>
<p>
<b>Отличительные особенности:</b>
</p>
<ul>
<li>Максимальное рабочее давление 16 бар;</li>
<li>Двухконтурная система;</li>
<li>Медный теплообменник;</li>
<li>Настройка таймера;</li>
<li>Настройка температуры;</li>
<li>Автоматический сброс конденсата. </li>
</ul>";"<table width=""100%"">
<tbody>
<tr>
	<td>
 <b>Модель</b>
	</td>
	<td style=""text-align:center;"">
 <b>I-75</b>
	</td>
</tr>
<tr>
	<td>
		 Пропускная способность, м<sup>3</sup>/мин
	</td>
	<td style=""text-align:center;"">
		 11
	</td>
</tr>
<tr>
	<td>
		 Максимальная температура сжатого воздуха на входе, °С;
	</td>
	<td style=""text-align:center;"">
		 65
	</td>
</tr>
<tr>
	<td>
		 Максимальное рабочее давление сжатого воздуха, бар
	</td>
	<td style=""text-align:center;"">
		 16
	</td>
</tr>
<tr>
	<td>
		 Режим работы, °С
	</td>
	<td style=""text-align:center;"">
		 +5 - +42
	</td>
</tr>
<tr>
	<td>
		 Хладагент
	</td>
	<td style=""text-align:center;"">
		 R410a
	</td>
</tr>
<tr>
	<td>
		 Мощность, кВт
	</td>
	<td style=""text-align:center;"">
		 1,867
	</td>
</tr>
<tr>
	<td>
		 Параметры электросети
	</td>
	<td style=""text-align:center;"">
		 230V 50HZ
	</td>
</tr>
<tr>
	<td>
		 Подключение
	</td>
	<td style=""text-align:center;"">
		 RC2”
	</td>
</tr>
<tr>
	<td>
 <b>Габаритные размеры:</b>
	</td>
</tr>
<tr>
	<td>
		 Длина, мм
	</td>
	<td style=""text-align:center;"">
		 770
	</td>
</tr>
<tr>
	<td>
		 Ширина, мм
	</td>
	<td style=""text-align:center;"">
		 590
	</td>
</tr>
<tr>
	<td>
		 Высота, мм
	</td>
	<td style=""text-align:center;"">
		 990
	</td>
</tr>
<tr>
	<td>
		 Вес, кг
	</td>
	<td style=""text-align:center;"">
		 73
	</td>
</tr>
</tbody>
</table>";3030;0;250363.446;;
71;https://ironmac-kompressor.com/catalog/product/i_100/;I-100;"Рефрижераторные осушители";4100;;USD;"В наличии";https://ironmac-kompressor.com/upload/iblock/3a6/uhgf22ib3v69kggqpqpsapxfuhur10xu.jpg;;"<p>
<b>Принцип работы:</b>
</p>
<p>
Осушение сжатого воздуха осуществляется путем понижения его температуры до точки росы. Уже имеющаяся влага в сжатом воздухе выпадает в виде конденсата, выводится из системы через автоматический клапан.
</p>
<p>
Охлаждение воздуха осуществляется в радиаторе воздух / фреон, при этом фреоновый контур является замкнутым.
</p>
<p>
<b>Отличительные особенности:</b>
</p>
<ul>
<li>Максимальное рабочее давление 16 бар;</li>
<li>Двухконтурная система;</li>
<li>Медный теплообменник;</li>
<li>Настройка таймера;</li>
<li>Настройка температуры;</li>
<li>Автоматический сброс конденсата. </li>
</ul>";"<table width=""100%"">
<tbody>
<tr>
	<td>
 <b>Модель</b>
	</td>
	<td style=""text-align:center;"">
 <b>I-100</b>
	</td>
</tr>
<tr>
	<td>
		 Пропускная способность, м<sup>3</sup>/мин
	</td>
	<td style=""text-align:center;"">
		 13,5
	</td>
</tr>
<tr>
	<td>
		 Максимальная температура сжатого воздуха на входе, °С;
	</td>
	<td style=""text-align:center;"">
		 65
	</td>
</tr>
<tr>
	<td>
		 Максимальное рабочее давление сжатого воздуха, бар
	</td>
	<td style=""text-align:center;"">
		 16
	</td>
</tr>
<tr>
	<td>
		 Режим работы, °С
	</td>
	<td style=""text-align:center;"">
		 +5 - +42
	</td>
</tr>
<tr>
	<td>
		 Хладагент
	</td>
	<td style=""text-align:center;"">
		 R410a
	</td>
</tr>
<tr>
	<td>
		 Мощность, кВт
	</td>
	<td style=""text-align:center;"">
		 2,43
	</td>
</tr>
<tr>
	<td>
		 Параметры электросети
	</td>
	<td style=""text-align:center;"">
		 380V 50/60HZ
	</td>
</tr>
<tr>
	<td>
		 Подключение
	</td>
	<td style=""text-align:center;"">
		 RC2”
	</td>
</tr>
<tr>
	<td>
 <b>Габаритные размеры:</b>
	</td>
</tr>
<tr>
	<td>
		 Длина, мм
	</td>
	<td style=""text-align:center;"">
		 770
	</td>
</tr>
<tr>
	<td>
		 Ширина, мм
	</td>
	<td style=""text-align:center;"">
		 590
	</td>
</tr>
<tr>
	<td>
		 Высота, мм
	</td>
	<td style=""text-align:center;"">
		 990
	</td>
</tr>
<tr>
	<td>
		 Вес, кг
	</td>
	<td style=""text-align:center;"">
		 85
	</td>
</tr>
</tbody>
</table>";4100;0;338775.62;;
437;https://ironmac-kompressor.com/catalog/product/i_10_digi/;"I-10 DIGI";"Рефрижераторные осушители";780;;USD;"В наличии";https://ironmac-kompressor.com/upload/iblock/315/ndupsqy9xpvri1waoq2046crvlpza5n7.jpg;;"<p>
<b>Принцип работы:</b>
</p>
<p>
Осушение сжатого воздуха осуществляется путем понижения его температуры до точки росы. Уже имеющаяся влага в сжатом воздухе выпадает в виде конденсата, выводится из системы через автоматический клапан.
</p>
<p>
Охлаждение воздуха осуществляется в радиаторе воздух / фреон, при этом фреоновый контур является замкнутым.
</p>
<p>
<b>Отличительные особенности:</b>
</p>
<ul>
<li>Максимальное рабочее давление 16 бар;</li>
<li>Двухконтурная система;</li>
<li>Медный теплообменник;</li>
<li>Настройка таймера;</li>
<li>Настройка температуры;</li>
<li>Автоматический сброс конденсата. </li>
</ul>";"<table width=""100%"">
<tbody>
<tr>
	<td>
 <b>Модель</b>
	</td>
	<td>
 <b>I-10 DIGI</b>
	</td>
</tr>
<tr>
	<td>
		<p>
			 Макс. давление, бар
		</p>
	</td>
	<td>
		 16
	</td>
</tr>
<tr>
	<td>
		<p>
			 Производительность, м<sup>3</sup>/мин
		</p>
	</td>
	<td>
		 1,2
	</td>
</tr>
<tr>
	<td>
		<p>
			 Параметры электросети, В / Гц
		</p>
	</td>
	<td>
		 230 / 50
	</td>
</tr>
<tr>
	<td>
		<p>
			 Соединение
		</p>
	</td>
	<td>
		 RC 3/4""
	</td>
</tr>
<tr>
	<td>
		<p>
 <b>Габаритные размеры:</b>
		</p>
	</td>
</tr>
<tr>
	<td>
		<p>
			 Длина, мм
		</p>
	</td>
	<td>
		 480
	</td>
</tr>
<tr>
	<td>
		<p>
			 Ширина, мм
		</p>
	</td>
	<td>
		 380
	</td>
</tr>
<tr>
	<td>
		<p>
			 Высота, мм
		</p>
	</td>
	<td>
		 665
	</td>
</tr>
<tr>
	<td>
		<p>
			 Вес, кг
		</p>
	</td>
	<td>
		 36
	</td>
</tr>
</tbody>
</table>";780;0;64449.996;;
440;https://ironmac-kompressor.com/catalog/product/i_30_digi/;"I-30 DIGI";"Рефрижераторные осушители";1150;;USD;"В наличии";https://ironmac-kompressor.com/upload/iblock/315/ndupsqy9xpvri1waoq2046crvlpza5n7.jpg;;"<p>
<b>Принцип работы:</b>
</p>
<p>
Осушение сжатого воздуха осуществляется путем понижения его температуры до точки росы. Уже имеющаяся влага в сжатом воздухе выпадает в виде конденсата, выводится из системы через автоматический клапан.
</p>
<p>
Охлаждение воздуха осуществляется в радиаторе воздух / фреон, при этом фреоновый контур является замкнутым.
</p>
<p>
<b>Отличительные особенности:</b>
</p>
<ul>
<li>Максимальное рабочее давление 16 бар;</li>
<li>Двухконтурная система;</li>
<li>Медный теплообменник;</li>
<li>Настройка таймера;</li>
<li>Настройка температуры;</li>
<li>Автоматический сброс конденсата. </li>
</ul>";"<table width=""100%"">
<tbody>
<tr>
	<td>
 <b>Модель</b>
	</td>
	<td>
 <b>I-30 DIGI</b>
	</td>
</tr>
<tr>
	<td>
		<p>
			 Макс. давление, бар
		</p>
	</td>
	<td>
		 16
	</td>
</tr>
<tr>
	<td>
		<p>
			 Производительность, м<sup>3</sup>/мин
		</p>
	</td>
	<td>
		 3,6
	</td>
</tr>
<tr>
	<td>
		<p>
			 Параметры электросети, В / Гц
		</p>
	</td>
	<td>
		 230 / 50
	</td>
</tr>
<tr>
	<td>
		<p>
			 Соединение
		</p>
	</td>
	<td>
		 RC 1""
	</td>
</tr>
<tr>
	<td>
		<p>
 <b>Габаритные размеры:</b>
		</p>
	</td>
</tr>
<tr>
	<td>
		<p>
			 Длина, мм
		</p>
	</td>
	<td>
		 580
	</td>
</tr>
<tr>
	<td>
		<p>
			 Ширина, мм
		</p>
	</td>
	<td>
		 460
	</td>
</tr>
<tr>
	<td>
		<p>
			 Высота, мм
		</p>
	</td>
	<td>
		 785
	</td>
</tr>
<tr>
	<td>
		<p>
			 Вес, кг
		</p>
	</td>
	<td>
		 56
	</td>
</tr>
</tbody>
</table>";1150;0;95022.43;;
